github_profile,url_perfil,two_factor_auth,tipo_usuario,qtd_teams,qtde_roles
carloshob,https://github.com/orgs/bazingas-lab/people/carloshob,True,Owner,2,1
labanca,https://github.com/orgs/bazingas-lab/people/labanca,False,Member,1,0
